id,skill,skill_alias
308,Linux,RedhatLinux; CalderaLinux; EduLinux;SUSELinux; Red hat Linux; ubuntu linux; Calderal Linux; Edu linux; SUSE Linux;
309,LoadRunner,Load Runner;
310,Log4j, 
311,Lotus Domino Administrator,Lotus Domino Admin; LotusDomino Administrator; LotusDomino Admin;
312,Lotus Domino,LotusDomino;
313,Lotus Notes,Lotus Notes/Domino; Lotus Domino R7;
314,LotusScript,Lotus Script;
315,Mainframe,Main Frame;
316,Manual Testing,Manual Test; ManualTesting;
317,MapInfo, 
318,MapServer, 
319,Matlab,Mat lab;
320,Maximo, 
321,MCP, 
322,MCSE, 
323,MCTS, 
324,MDW,Multidimensional warehouse;
325,MetaStage,Meta Stage;
326,MFC,Microsoft Foundation Class;
327,Microcontroller,Micro Controller;
328,Microsoft Commerce Server,MS Commerce Server; Microsoft CommerceServer; MS CommerceServer;
329,Microsoft Site Server,MS Site Server; MS SiteServer; Microsoft SiteServer;
330,MicroStrategy Administrator,MicroStrategy Admin;
331,MicroStrategy Agent, 
332,MicroStrategy Architect, 
333,MicroStrategy Desktop, 
334,MicroStrategy Intelligence Server, 
335,MicroStrategy Report Services, 
336,MicroStrategy Suite,MicroStrategy BI Suite; Micro Strategy BI Suite;
337,MicroStrategy Web, 
338,Microstrategy,Micro Strategy;
339,Middleware,Middle Ware;
340,Migration, 
341,MOM,Microsoft Operation Management; Microsoft Operations Management; Microsoft Operation Manager; Microsoft Operations Manager;
342,montavista, 
343,motorola, 
344,MQ Adapter,MQAdapter;
345,MQ Workflow,WebSphere MQ Workflow;
346,MQSeries,MQ Series;
347,MRP,Material Requirement Planning;
348,MS Project,Microsoft Project; MSProject; MicrosoftProject;
349,MSBUILD,MS Build; MicrosoftBuild; Microsoft Build;
350,MSCA,Mobile Supply Chain Application;
351,MSMQ, 
352,MSS,Manager Self Service;
353,MTS, 
354,Multimedia,Multi media;
355,Multithreaded,Multi-Threaded; Multi Threaded; Multi Thread;
356,MVC,Model View Controller;
357,MVS,MVS/ESA;
358,MWA,Mobile Web Application; Mobile WebApplication;
359,mySAP, 
360,MySQL DBA,MySQL Database Adminstrator; MySQL Data Base Administrator;
361,MySQL, 
362,NetBackup, 
363,NetBeans, 
364,NetObjects Fusion, 
365,Netware,Novell Netware; NovellNetware;
366,Network Engineer,Networking Engineer;
367,NFS, 
368,Nhibernate, 
369,OBIEE,Oracle Bi Suite Enterprise Edition;
370,OCFS,Oracle Cluster File System; OCFS2;
371,ODBC,open database connectivity; open data base connectivity;
372,OEM,Oracle Enterprise Manager;
373,OID,Oracle Internet Directory;
374,OLAP,On Line Analytical Process; On Line Analytical Processing; OnLine Analytical Process; OnLine Analytical Processing;
375,OLTP,On Line Transaction Processing; Online Transaction Processing;
376,OMNI, 
377,OOAD,Object Oriented Analysis Designs; Object Oriented Analysis Design;
378,OOD,Object Oriented Design;
379,OOP,OOPS; Object Oriented Programming;
380,openSSH, 
381,openSSL, 
382,OPM,Oracle Process Manufacturing;
383,Oracle 10g,Oracle10g;ORACLE 10g R2;
384,Oracle 11g, 
385,Oracle 8i,Oracle8i;
386,Oracle 9i,Oracle9i;
387,Oracle Application Server,Oracle Applicationserver; Oracle Applications Servers; OAS;
388,Oracle Applications Consultant,Oracle Apps Consultant;
389,Oracle Apps DBA,Oracle Applications DBA; Oracle Application DBA; Oracle AppsDBA;Oracle Applications DBA Rel 11i;
390,Oracle Apps Functional,Oracle Applications Functional; Oracle Application Functional;
391,Oracle Apps Technical,Oracle Applications Technical;
392,Oracle Apps Techno Functional, 
393,Oracle Apps,Oracle Applications 11i; Oracle Applications 11.5.x; Oracle Apps 11.5.10.2; Oracle Application; Oracle Applications;
394,Oracle Clinical, 
395,Oracle CRM,Oracle CRM 11.5.7; Oracle Customer Relationship Management; Oracle Customer Relationship Management Apps;
396,Oracle Database Server,Oracle Data Base Server;
397,Oracle DBA,Oracledba; oracle database administrator; oracle database administration; Oracle production DBA; Oracle 9i Certified DBA; oracle 10g dba; oracle 11g dba; oracle 8i dba; oracle 8 dba;
398,Oracle Designer, 
399,Oracle Developer, 
400,Oracle Discoverer,Oracle Discoverer 10g; Oracle Discoverer10g; Discoverer 10g; Discoverer;
401,Oracle E-Business,Oracle E-Business Suite;
402,Oracle EDI,Oracle Electronic Data Interchange;
403,Oracle Express, 
404,Oracle Financials,Oracle Financials 11.5.10; Oraclefinancials; Oracle Applications Financials; Oracle Financial 11i; Oracle Financials 11i; Oracle Financial;
405,Oracle Functional Consultant,Oracle Functional Developer;
406,Oracle Fusion, 
407,Oracle PO,Oracle Purchasing; OraclePO;
408,Oracle Recovery Manager, 
409,Oracle SCM, 
410,Oracle Spatial, 
411,Oracle Technical developer,Oracle Technical Consultant;
412,Cisco Admin,CiscoAdmin; Cisco Administration; Cisco Administrator;
413,Oracle Techno Functional Consultant,Oracle TechnoFunctional Consultant; Oracle Techno-Functional Consultant;
414,Oracle WorkFlow,Oracle Work Flow; OracleWorkFlow;
415,Oracle, 
416,Orbit GIS,Orbit Geographic Information System;
417,ORM,Object-Relational Mapping; Object Relational Mapping;
418,OS/2,OS-2; OS 2;
419,OS/390,OS-390; OS 390;
420,OS/400,OS-400; OS 400;
421,OWS,Operational Warehouse Staging;
422,P2P,Procure-To-Pay;
423,PABX, 
424,PageMaker,Page Maker;
425,Paradox, 
426,Pascal, 
427,PDW,Procurement Datawarehouse;
428,PEGA, 
429,Peoplecode Debugger,People Code Debugger;
430,Peoplecode,People code;
431,peoplefinder,People finder;
432,Peoplesoft Admin,People soft Admin; Peoplesoft Administrator; Peoplesoft Administration; People soft Administrator; People soft Administration;
433,Peoplesoft CRM,People Soft CRM; People soft Customer Relationship Management;
434,Peoplesoft DBA,People soft DBA; Peoplesoft Database Administrator; PeopleSoft Database Administration;
435,Peoplesoft Developer,People soft Developer; PeoplesoftDeveloper;
436,Peoplesoft EPM,PS EPM; People soft EPM; PeopleSoft EPM Consultant; PeopleSoft EPM 8.8; PeopleSoft EPM 8.9; PeopleSoft EPM 9.0; People Soft EPM 8.3; Peoplesoft Enterprise performance management; People soft Enterprise performance management;
437,Peoplesoft ERP,Peoplesoft Enterprise Resource Planning;
438,PeopleSoft Finance, 
439,Peoplesoft Financial,PeoplesoftFinancial; Peoplesoft Financials; PeoplesoftFinancials; People soft Financial; People soft Financials; PeopleSoft Financials 8.8;
440,Peoplesoft Functional,People Soft functional; peoplesoft functional consultant;
441,Peoplesoft HCM,PeoplesoftHCM; People soft HCM; Peoplesoft HCM 9.0; Peoplesoft HCM 9.1;
442,PeopleSoft HR,PeopleSoftHR; PeopleSoft Human Resources; People Soft HR; People Soft Human Resources; Peoplesoft HR module; People soft HR module;
443,PeopleSoft HRMS,PeopleSoftHRMS; People Soft HRMS; PeopleSoft HRMS 7.5; PeopleSoft HRMS 8.3; PeopleSoft HRMS 8.8; PeopleSoft HRMS 8.9; Peoplesoft Human Resource Management Systems;
444,PeopleSoft Payroll,PeopleSoftPayroll; PeopleSoft Payroll Process;
445,Peoplesoft Portal,People soft portal;
446,PeopleSoft Query,People Soft Query;
447,Peoplesoft SCM,People Soft SCM;
448,Peoplesoft Technical,People Soft technical; peoplesoft technical consultant;
449,PeopleSoft Techno Functional, 
450,Peoplesoft Tester,People Soft Tester;
451,Peoplesoft,People soft; Peoplesoft 9.0; people soft 9.0; peoplesoft 8.9; people soft 8.9; peoplsoft;
452,Peopletools,People tools; PeopleTools 8.4; PeopleTools 8.20; PeopleTools 8.1;People Tools 8.4.2; Peopletools 8.4.5;
453,Performance Center,Mercury PerformanceCenter; PerformanceCenter;
454,Performance Tuning,Performancetuning; performance tunning;
455,Perl Script,Perl Scripting;
456,Perl, 
457,Photoshop,Photo shop; PhotoshopCS2; AdobePhotoshop;PhotoshopCS3; Photoshop CS2; Photoshop CS3; Photoshop CS4; Photoshop CS5; Photoshop CS6;
458,PHP, 
459,PL/I,PL/1;
460,PL/SQL,PL-SQL; PL SQL; PLSQL; PL / SQL;
461,PlateSpin,Plate Spin;
462,PMP,Project Management Professional Certification; Project Management Professional;
463,PostgreSQL, 
464,PowerBuilder 10.5,Power Builder 10.5; PowerBuilder10.5;
465,PowerBuilder 11.0,Power Builder 11.0; PowerBuilder11.0;
466,PowerBuilder Developer,Power Builder Developer;
467,PowerBuilder,Power Builder;
468,PowerBuilder.Net, 
469,PowerPC, 
470,Powerpoint,MSPowerpoint; MicrosoftPowerpoint; Power point;
471,PowerShell scripting, 
472,Pro*C,Pro * C; Pro C;
473,PROC FREQ, 
474,PROC MEANS, 
475,PROC REPORT, 
476,PROC SORT, 
477,Proc SQL, 
478,Process Scheduler,ProcessScheduler;
479,ProfileStage,profile stage;
480,Project Manager,Project Management; PM; Project Lead
481,protocol, 
482,PS query, 
483,pSeries, 
484,PVCS Tracker,PVCS;
485,Python, 
486,QA Analyst,Quality Assurance Analyst;
487,QA Lead,Quality Assurance Lead;
488,QA,Quality Assurance; Quality Analysis; Quality Testing;
489,QM,Quality Management;
490,QMF, 
491,Quality Center,QualityCenter;
492,QualityStage,Quality Stage;
493,Quark Xpress,QuarkExpress;
494,Query Analyser,QueryAnalyser;
495,Query Builder,QueryBuilder;
496,Query Studio,QueryStudio;
497,Quick Testpro,Quick Test Pro; QTP; Quick Test Professional;
498,RAC,Real Application Clusters; Real Application Cluster; Real Application clustering; Oracle Real Application Cluster;
499,RAD,rad 7.0; rapid application developer;
500,RAID, 
501,Rational Requisite Pro,RationalRequisitePro; Rational RequisitePro;
502,Rational Robot,RationalRobot;
503,Rational Rose,RationalRose;
504,Rational Soda,RationalSoda;
505,Real time,Realtime;
506,Recovery, 
507,Recruiter,TechnicalRecruiter; Recruiting; Recuriter;
508,Regression Testing,RegressionTesting; Regression Test;
509,Remedy, 
510,Replication Server,Sybase Replication Server; ReplicationServer; Sybase ReplicationServer;
